date,value,realtime_start,realtime_end
2002-09-01,212711,2019-04-09,2019-04-09
2002-10-01,214144,2019-04-09,2019-04-09
2002-11-01,214383,2019-04-09,2019-04-09
2002-12-01,221742,2019-04-09,2019-04-09
2003-01-01,219258,2019-04-09,2019-04-09
2003-02-01,216078,2019-04-09,2019-04-09
2003-03-01,208246,2019-04-09,2019-04-09
2003-04-01,211887,2019-04-09,2019-04-09
2003-05-01,213124,2019-04-09,2019-04-09
2003-06-01,218419,2019-04-09,2019-04-09
2003-07-01,217640,2019-04-09,2019-04-09
2003-08-01,220213,2019-04-09,2019-04-09
2003-09-01,219205,2019-04-09,2019-04-09
2003-10-01,222735,2019-04-09,2019-04-09
2003-11-01,214612,2019-04-09,2019-04-09
2003-12-01,212946,2019-04-09,2019-04-09
2004-01-01,212536,2019-04-09,2019-04-09
2004-02-01,210322,2019-04-09,2019-04-09
2004-03-01,221222,2019-04-09,2019-04-09
2004-04-01,221765,2019-04-09,2019-04-09
2004-05-01,218891,2019-04-09,2019-04-09
2004-06-01,222773,2019-04-09,2019-04-09
2004-07-01,224037,2019-04-09,2019-04-09
2004-08-01,220820,2019-04-09,2019-04-09
2004-09-01,218907,2019-04-09,2019-04-09
2004-10-01,218000,2019-04-09,2019-04-09
2004-11-01,225573,2019-04-09,2019-04-09
2004-12-01,224471,2019-04-09,2019-04-09
2005-01-01,220274,2019-04-09,2019-04-09
2005-02-01,226618,2019-04-09,2019-04-09
2005-03-01,228202,2019-04-09,2019-04-09
2005-04-01,228516,2019-04-09,2019-04-09
2005-05-01,234195,2019-04-09,2019-04-09
2005-06-01,236913,2019-04-09,2019-04-09
2005-07-01,236450,2019-04-09,2019-04-09
2005-08-01,237852,2019-04-09,2019-04-09
2005-09-01,237879,2019-04-09,2019-04-09
2005-10-01,236787,2019-04-09,2019-04-09
2005-11-01,237341,2019-04-09,2019-04-09
2005-12-01,241758,2019-04-09,2019-04-09
2006-01-01,242619,2019-04-09,2019-04-09
2006-02-01,246794,2019-04-09,2019-04-09
2006-03-01,251494,2019-04-09,2019-04-09
2006-04-01,255257,2019-04-09,2019-04-09
2006-05-01,253839,2019-04-09,2019-04-09
2006-06-01,257741,2019-04-09,2019-04-09
2006-07-01,258037,2019-04-09,2019-04-09
2006-08-01,254884,2019-04-09,2019-04-09
2006-09-01,254781,2019-04-09,2019-04-09
2006-10-01,256903,2019-04-09,2019-04-09
