date,value,realtime_start,realtime_end
2010-10-01,294920,2019-04-09,2019-04-09
2010-11-01,287429,2019-04-09,2019-04-09
2010-12-01,281837,2019-04-09,2019-04-09
2011-01-01,282968,2019-04-09,2019-04-09
2011-02-01,278448,2019-04-09,2019-04-09
2011-03-01,281492,2019-04-09,2019-04-09
2011-04-01,274964,2019-04-09,2019-04-09
2011-05-01,273908,2019-04-09,2019-04-09
2011-06-01,276482,2019-04-09,2019-04-09
2011-07-01,271196,2019-04-09,2019-04-09
2011-08-01,279825,2019-04-09,2019-04-09
2011-09-01,281529,2019-04-09,2019-04-09
2011-10-01,276573,2019-04-09,2019-04-09
2011-11-01,280487,2019-04-09,2019-04-09
2011-12-01,281789,2019-04-09,2019-04-09
2012-01-01,277655,2019-04-09,2019-04-09
2012-02-01,276474,2019-04-09,2019-04-09
2012-03-01,273879,2019-04-09,2019-04-09
2012-04-01,271839,2019-04-09,2019-04-09
2012-05-01,276528,2019-04-09,2019-04-09
2012-06-01,280108,2019-04-09,2019-04-09
2012-07-01,274815,2019-04-09,2019-04-09
2012-08-01,274695,2019-04-09,2019-04-09
2012-09-01,267974,2019-04-09,2019-04-09
2012-10-01,269283,2019-04-09,2019-04-09
2012-11-01,268768,2019-04-09,2019-04-09
2012-12-01,260684,2019-04-09,2019-04-09
2013-01-01,260153,2019-04-09,2019-04-09
2013-02-01,265375,2019-04-09,2019-04-09
2013-03-01,254966,2019-04-09,2019-04-09
2013-04-01,264528,2019-04-09,2019-04-09
2013-05-01,264200,2019-04-09,2019-04-09
2013-06-01,265821,2019-04-09,2019-04-09
2013-07-01,267622,2019-04-09,2019-04-09
2013-08-01,267956,2019-04-09,2019-04-09
2013-09-01,266811,2019-04-09,2019-04-09
2013-10-01,267308,2019-04-09,2019-04-09
2013-11-01,264306,2019-04-09,2019-04-09
2013-12-01,262815,2019-04-09,2019-04-09
2014-01-01,260007,2019-04-09,2019-04-09
2014-02-01,257750,2019-04-09,2019-04-09
2014-03-01,260174,2019-04-09,2019-04-09
2014-04-01,267838,2019-04-09,2019-04-09
2014-05-01,270560,2019-04-09,2019-04-09
2014-06-01,270325,2019-04-09,2019-04-09
2014-07-01,278126,2019-04-09,2019-04-09
2014-08-01,275758,2019-04-09,2019-04-09
2014-09-01,270801,2019-04-09,2019-04-09
2014-10-01,282479,2019-04-09,2019-04-09
2014-11-01,272816,2019-04-09,2019-04-09
2014-12-01,277308,2019-04-09,2019-04-09
2015-01-01,269397,2019-04-09,2019-04-09
2015-02-01,270794,2019-04-09,2019-04-09
2015-03-01,273855,2019-04-09,2019-04-09
2015-04-01,284012,2019-04-09,2019-04-09
2015-05-01,286194,2019-04-09,2019-04-09
2015-06-01,293553,2019-04-09,2019-04-09
2015-07-01,292703,2019-04-09,2019-04-09
2015-08-01,294344,2019-04-09,2019-04-09
2015-09-01,288441,2019-04-09,2019-04-09
2015-10-01,280573,2019-04-09,2019-04-09
2015-11-01,275671,2019-04-09,2019-04-09
2015-12-01,282143,2019-04-09,2019-04-09
2016-01-01,294885,2019-04-09,2019-04-09
2016-02-01,294411,2019-04-09,2019-04-09
2016-03-01,291828,2019-04-09,2019-04-09
2016-04-01,287725,2019-04-09,2019-04-09
2016-05-01,285760,2019-04-09,2019-04-09
2016-06-01,291831,2019-04-09,2019-04-09
2016-07-01,281694,2019-04-09,2019-04-09
2016-08-01,278721,2019-04-09,2019-04-09
2016-09-01,282834,2019-04-09,2019-04-09
2016-10-01,282374,2019-04-09,2019-04-09
2016-11-01,285636,2019-04-09,2019-04-09
2016-12-01,280195,2019-04-09,2019-04-09
2017-01-01,272391,2019-04-09,2019-04-09
