date,value,realtime_start,realtime_end
2002-09-01,21385,2019-04-09,2019-04-09
2002-10-01,19687,2019-04-09,2019-04-09
2002-11-01,17810,2019-04-09,2019-04-09
2002-12-01,15961,2019-04-09,2019-04-09
2003-01-01,14404,2019-04-09,2019-04-09
2003-02-01,13906,2019-04-09,2019-04-09
2003-03-01,14510,2019-04-09,2019-04-09
2003-04-01,16444,2019-04-09,2019-04-09
2003-05-01,18187,2019-04-09,2019-04-09
2003-06-01,20301,2019-04-09,2019-04-09
2003-07-01,20755,2019-04-09,2019-04-09
2003-08-01,21957,2019-04-09,2019-04-09
2003-09-01,22075,2019-04-09,2019-04-09
2003-10-01,20321,2019-04-09,2019-04-09
2003-11-01,17801,2019-04-09,2019-04-09
2003-12-01,15466,2019-04-09,2019-04-09
2004-01-01,13959,2019-04-09,2019-04-09
2004-02-01,13689,2019-04-09,2019-04-09
2004-03-01,15443,2019-04-09,2019-04-09
2004-04-01,17177,2019-04-09,2019-04-09
2004-05-01,18709,2019-04-09,2019-04-09
2004-06-01,20893,2019-04-09,2019-04-09
2004-07-01,21444,2019-04-09,2019-04-09
2004-08-01,22164,2019-04-09,2019-04-09
2004-09-01,21876,2019-04-09,2019-04-09
2004-10-01,19726,2019-04-09,2019-04-09
2004-11-01,18809,2019-04-09,2019-04-09
2004-12-01,16295,2019-04-09,2019-04-09
2005-01-01,14380,2019-04-09,2019-04-09
2005-02-01,14517,2019-04-09,2019-04-09
2005-03-01,15920,2019-04-09,2019-04-09
2005-04-01,17656,2019-04-09,2019-04-09
2005-05-01,20097,2019-04-09,2019-04-09
2005-06-01,22375,2019-04-09,2019-04-09
2005-07-01,22679,2019-04-09,2019-04-09
2005-08-01,24078,2019-04-09,2019-04-09
2005-09-01,23685,2019-04-09,2019-04-09
2005-10-01,21519,2019-04-09,2019-04-09
2005-11-01,19775,2019-04-09,2019-04-09
2005-12-01,17479,2019-04-09,2019-04-09
2006-01-01,15719,2019-04-09,2019-04-09
2006-02-01,15857,2019-04-09,2019-04-09
2006-03-01,17692,2019-04-09,2019-04-09
2006-04-01,19544,2019-04-09,2019-04-09
2006-05-01,22007,2019-04-09,2019-04-09
2006-06-01,24411,2019-04-09,2019-04-09
2006-07-01,24723,2019-04-09,2019-04-09
2006-08-01,25785,2019-04-09,2019-04-09
2006-09-01,24923,2019-04-09,2019-04-09
2006-10-01,23384,2019-04-09,2019-04-09
2006-11-01,21878,2019-04-09,2019-04-09
2006-12-01,19464,2019-04-09,2019-04-09
2007-01-01,18245,2019-04-09,2019-04-09
2007-02-01,17740,2019-04-09,2019-04-09
2007-03-01,19503,2019-04-09,2019-04-09
2007-04-01,21942,2019-04-09,2019-04-09
2007-05-01,24849,2019-04-09,2019-04-09
2007-06-01,26837,2019-04-09,2019-04-09
2007-07-01,27820,2019-04-09,2019-04-09
2007-08-01,29693,2019-04-09,2019-04-09
2007-09-01,28871,2019-04-09,2019-04-09
2007-10-01,27152,2019-04-09,2019-04-09
2007-11-01,25045,2019-04-09,2019-04-09
2007-12-01,21377,2019-04-09,2019-04-09
2008-01-01,19199,2019-04-09,2019-04-09
2008-02-01,19602,2019-04-09,2019-04-09
2008-03-01,21336,2019-04-09,2019-04-09
2008-04-01,23692,2019-04-09,2019-04-09
